,Unnamed: ,Year,"U.S. total population, July ",Butter,Margarine,Lard,Edible tallow,Shortening,Salad and cooking oils ,Other edible fats and oils,Total
94,99,2004,293.463185,4.494175365608024,5.232951285717654,0.7503135874449672,3.9639655481702407,32.47875098232517,39.95095160676291,1.4843429168125468,88.35545129284151
95,100,2005,296.186216,4.513320573670923,4.0060096045877644,1.552208194284869,3.767137087774538,28.98829223044703,42.73451416507628,1.620564948910384,87.18204680475179
96,101,2006,298.995825,4.664971432323265,4.571523430347148,1.6676596003888078,3.881164800129144,24.837764591974214,44.55723711413579,2.145829728558918,86.32615069785729
97,102,2007,302.003917,4.683704329068832,4.519877302324784,1.6116108412140495,2.9451505263233653,20.949279483770184,50.19323012452783,1.680057679516786,86.58291028674584
98,103,2008,304.797761,4.973427440996872,4.187891849210481,1.0414576128544857,2.9405098569468557,18.0062063082899,54.03309160094366,1.6487719540695709,86.83135662331183
99,104,2009,307.439406,4.951093167211236,3.655083772825596,1.4561348419872304,0.6881801395627987,15.924104158073224,51.03533748248276,1.6819444414357214,79.39187800357857
100,105,2010,309.745698,4.9120393773267645,3.538006678342587,1.548894032314392,3.2849354689975385,15.323778829635549,53.569675310167554,1.6726495423352097,83.84997923911959
101,106,2011,311.997049,5.372649252055847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,107,2012,314.210786,5.505231324216404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,108,2013,316.358778,5.474058229105153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,109,2014,318.662368,5.500337573172673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,110,2015,320.978213,5.608702034746864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,111,2016,323.291042,5.700713602101526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,112,2017,325.186237,5.697281385414992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
